Hospital name,Phone number,Street address,Suburb,Postcode,State,Local Hospital Network (LHN),Primary Health Network area (PHN),Website,Description,Sector,Beds,Latitude,Longitude,Hospital_ID
Calvary Hospital,02 9553 3111,91-101 Rocky Point Road,Kogarah,2217,NSW,South Eastern Sydney,Central and Eastern Sydney,www.seslhd.health.nsw.gov.au/Calvary_Hospital/default.asp,Specialist rehabilitation hospital,Public,100-199,-33.976132,151.136206,140
Calvary John James Hospital,02 6281 8100,173 Strickland Crescent,Deakin,2600,ACT,,,www.calvaryjohnjames.com.au,,Private,100-199,-35.319869,149.095662,141
Calvary Mater Newcastle Hospital,02 4921 1211,20 Edith Street,Waratah,2298,NSW,Hunter New England,Hunter New England and Central Coast,www.calvarymater.org.au/,Large metropolitan hospital with an emergency department,Public,100-199,-32.899371,151.720858,142
Calvary North Adelaide Hospital,08 8239 9100,89 Strangways Terrace,Nth Adelaide,5006,SA,,,www.calvarynorthadelaide.org.au,,Private,100-199,-34.910003,138.589095,143
Calvary Private Hospital Bruce,02 6201 6363,Corner of Belconnen Way and Haydon Drive,Bruce,2617,ACT,,,www.calvaryactprivate.org.au/visitors.html,,Private,50-99,-35.252882,149.088646,144
Calvary Public Hospital,02 6201 6111,Haydon Drive,Bruce,2617,ACT,Australian Capital Territory,Australian Capital Territory,www.calvary-act.com.au,Large metropolitan hospital with an emergency department,Public,200-500,-35.253321,149.089654,145
Calvary Rehabilitation Hospital,08 8168 5700,18 North East Road,Walkerville,5081,SA,,,www.calvaryrehabsa.org.au,,Private,50-99,-34.891739,138.611481,146
Calvary Wakefield Hospital,08 8405 3333,300 Wakefield Street,Adelaide,5000,SA,,,www.calvarywakefield.org.au,,Private,100-199,-34.927689,138.611154,147
Camden Hospital,02 4634 3000,65 Menangle Road,Camden,2570,NSW,South Western Sydney,South Western Sydney,https://www.swslhd.health.nsw.gov.au/ccq/,Metropolitan hospital with an emergency department,Public,50-99,-34.062702,150.693297,148
Campbell Town Multi Purpose Service,03 6774 8000,70 High Street,Campbell Town,7210,Tas,Tasmanian Health Service,Tasmania,www.dhhs.tas.gov.au/service_information/service_delivery_points/campbell_town_health_and_community_service,Regional hospital,Public,<50,-41.926339,147.493107,149
Campbelltown Hospital,02 4634 3000,Therry Road,Campbelltown,2560,NSW,South Western Sydney,South Western Sydney,https://www.swslhd.health.nsw.gov.au/ccq/,Large metropolitan hospital with an emergency department,Public,200-500,-34.077651,150.806321,150
Campbelltown Private Hospital,02 4621 9111,42 Parkside Crescent (Corner of Hyde Street),Campbelltown,2560,NSW,,,www.campbelltownprivatehospital.com.au,,Private,50-99,-34.075607,150.804948,151
Canberra Imaging Group Angiography/Interventional Suite,02 6203 2092,173 Strickland Cresent,Deakin,2600,ACT,,,www.canberraimaging.com.au,,Private,<50,-35.318557,149.096004,152
Canossa Private Hospital,07 3717 5555,169 Seventeen Mile Rocks Road,Oxley,4075,Qld,,,http://www.canossa.org.au/,,Private,50-99,-27.554703,152.963716,153
Canowindra Hospital,02 6340 3033,Browns Avenue,Canowindra,2804,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-33.557204,148.676576,154
Canterbury Hospital,02 9787 0000,575 Canterbury Road,Campsie,2194,NSW,Sydney,Central and Eastern Sydney,www.sswahs.nsw.gov.au/Canterbury/,Medium metropolitan hospital with an emergency department,Public,100-199,-33.919592,151.098275,155
Capricorn Coast Hospital,07 4913 3000,8 Hoskyn Drive,Yeppoon,4703,Qld,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",www.health.qld.gov.au/services/central-queensland/cap-coast.asp,Small hospital,Public,<50,-23.143888,150.734519,156
Caritas Christi Hospice [Kew],03 9231 5000,104 Studley Park Road,Kew,3101,Vic,St Vincent's Hospital (Melbourne) Limited,Eastern Melbourne,www.svhm.org.au/home/patients-and-visitors/campus-information/caritas-christi-campus,Metropolitan hospital,Public,<50,-37.804706,145.015557,157
Carnarvon Hospital,08 9941 0555,Cleaver Street,Carnarvon,6701,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=32,Small hospital,Public,<50,-24.886592,113.658993,158
Casey Hospital,03 8768 1200,52 Kangan Drive,Berwick,3806,Vic,Monash Health,South Eastern Melbourne,,Medium metropolitan hospital with an emergency department,Public,200-500,-38.045325,145.347181,159
Casino Hospital,02 6662 2111,Hotham Street,Casino,2470,NSW,Northern NSW,North Coast,,Small hospital with an emergency department,Public,<50,-28.859839,153.035827,160
Casterton Memorial Hospital,03 5554 2555,63-69 Russell Street,Casterton,3311,Vic,Casterton Memorial Hospital,Western Victoria,http://www.swarh2.com.au/cmh,Regional hospital,Public,<50,-37.589989,141.392283,161
Castle Hill Day Surgery,02 8850 0500,72-74 Cecil Avenue,Castle Hill,2154,NSW,,,www.chds.com.au,,Private,<50,-33.73507,151.004099,162
Castlecrag Private Hospital,02 9935 0200,150 Edinburgh Road,Castlecrag,2068,NSW,,,www.castlecragprivate.com.au/,,Private,<50,-33.801822,151.217045,163
Castlemaine Health,03 5471 1555,142 Cornish Street,Castlemaine,3450,Vic,Castlemaine Health,Murray,www.mtalexhosp.vic.gov.au,Small hospital,Public,50-99,-37.052539,144.212315,164
Caulfield Hospital,03 9076 6000,260-294 Kooyong Road,Caulfield,3162,Vic,Alfred Health (Vic),South Eastern Melbourne,https://www.alfredhealth.org.au/caulfield/,Metropolitan hospital,Public,200-500,-37.882707,145.016892,165
Ceduna District Health Service,08 8626 2110,3 Eyre Highway,Ceduna,5690,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/cedunahospital,Small hospital,Public,<50,-32.119099,133.672317,166
Central Coast Day Hospital,02 4367 3880,"Suite 1, Fountain Corporate, 2 Ilya Avenue",Erina,2250,NSW,,,,,Private,<50,-33.439692,151.384354,167
Central Gippsland Health Service [Maffra],03 5147 0100,48 Kent Street,Maffra,3860,Vic,Central Gippsland Health Service,Gippsland,www.gha.net.au,Regional hospital,Public,<50,-37.961032,146.983487,168
Central Gippsland Health Service [Sale],03 5143 8600,155 Guthridge Parade,Sale,3850,Vic,Central Gippsland Health Service,Gippsland,www.gha.net.au,Large regional hospital with an emergency department,Public,50-99,-38.108408,147.080637,169
Central Yorke Peninsula Hospital (Maitland),08 8862 2626,65 Robert Street,Maitland,5573,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/maitlandhospital,Regional hospital,Public,<50,-34.370494,137.673947,170
Centre for Digestive Diseases,02 9713 4011,"Level 1, 229 Great North Road",Five Dock,2046,NSW,,,www.cdd.com.au,,Private,,-33.865117,151.130092,171
Cessnock Hospital,02 4991 0555,24 View Street,Cessnock,2325,NSW,Hunter New England,Hunter New England and Central Coast,,Small hospital with an emergency department,Public,<50,-32.827754,151.348396,172
Charleville Hospital,07 4650 5000,72 King Street,Charleville,4470,Qld,South West (Qld),Western Queensland,www.health.qld.gov.au/services/southwest/swest_cville_hosp.asp,Small hospital,Public,<50,-26.410455,146.239228,173
Charters Towers Hospital,07 4787 0333,137-139 Gill Street,Charters Towers,4820,Qld,Townsville,Northern Queensland,www.health.qld.gov.au/services/townsville/tville_ctowers_hc.asp,Regional hospital,Public,<50,-20.076167,146.264097,174
Charters Towers Rehabilitation Unit,07 4787 5200,35 Gladstone Road,Charters Towers,4820,Qld,Townsville,Northern Queensland,www.health.qld.gov.au/services/townsville/tville_ctowers_rc.asp,Specialist psychiatric hospital,Public,<50,-20.076801,146.280459,175
Chatswood Private Hospital,02 9413 4822,"Suite 1, 38B Albert Avenue",Chatswood,2067,NSW,,,http://www.cphospital.com.au,,Private,<50,-33.797612,151.185691,176
Cherbourg Hospital,07 4169 8800,Fisher Street,Cherbourg,4605,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-cherbourg-hs.asp,Small hospital,Public,<50,-26.291519,151.956324,177
Chermside Day Hospital,07 3120 3444,1/956 Gympie Road,Chermside,4032,Qld,,,http://www.curagroup.com.au/chermside-day-hospital,,Private,<50,-27.381971,153.029423,178
Chesterville Day Hospital,03 9585 3777,28 Chesterville Road,Cheltenham,3192,Vic,,,http://www.curagroup.com.au/chesterville-day-hospital,,Private,<50,-37.96046,145.0568,179
Childers Hospital,07 4192 1133,44 Broadhurst Street,Childers,4660,Qld,Wide Bay,"Central Queensland, Wide Bay and Sunshine Coast",www.health.qld.gov.au/services/widebay/wb-childers.asp,Regional hospital,Public,<50,-25.239416,152.273286,180
Chinchilla Hospital,07 4662 8888,Slessar Street,Chinchilla,4413,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-chinchilla-hs.asp,Small hospital,Public,<50,-26.741337,150.634939,181
Chris OBrien Lifehouse,02 2851 4000,119-143 Missenden Road,Camperdown,2050,NSW,,Central and Eastern Sydney,www.mylifehouse.org.au,,Private,100-199,-33.890577,151.182234,182
Clare Hospital,08 8842 6500,47 Farrell Flat Road,Clare,5453,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/clarehospital,Small hospital,Public,<50,-33.829588,138.614416,183
Clermont Hospital,07 4983 4000,Francis Street,Clermont,4721,Qld,Mackay,Northern Queensland,www.health.qld.gov.au/services/mackay/clerm_mphs.asp,Regional hospital,Public,<50,-22.826219,147.632174,184
Cleve District Hospital and Aged Care,08 8628 2665,North Terrace,Cleve,5640,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/clevehospital,Regional hospital,Public,<50,-33.697779,136.494162,185
Cloncurry Hospital,07 4742 4500,1 Musgrave Street,Cloncurry,4824,Qld,North West (Qld),Western Queensland,www.health.qld.gov.au/services/northwest/nwest_clonc_hosp.asp,Regional hospital,Public,<50,-20.704166,140.527571,186
Cobar Health Service,02 6830 2111,Lerida Road,Cobar,2835,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-31.509026,145.825266,187
Cobram District Hospital,03 5871 0777,24-32 Broadway Street,Cobram,3644,Vic,Cobram District Hospital,Murray,,Regional hospital,Public,<50,-35.916273,145.651029,188
Coffs Day Hospital,02 6600 1000,69 Albany Street,Coffs Harbour,2450,NSW,,,www.coffsdayhospital.com.au,,Private,<50,-30.300233,153.115865,189
Coffs Harbour Hospital,02 6656 7000,345 Pacific Highway,Coffs Harbour,2450,NSW,Mid North Coast,North Coast,,Large regional hospital with an emergency department,Public,200-500,-30.317579,153.093667,190
Cohuna District Hospital,03 5456 5300,144-158 King George Street,Cohuna,3568,Vic,Cohuna District Hospital,Murray,,Small hospital,Public,<50,-35.800063,144.214911,191
Colac Area Health,03 5232 5100,2-28 Connor Street,Colac,3250,Vic,Colac Area Health,Western Victoria,www.colacareahealth.com.au,Small hospital,Public,<50,-38.341201,143.582854,192
Coledale Hospital,02 4267 0111,636 Lawrence Hargrave Drive,Coledale,2515,NSW,Illawarra Shoalhaven,South Eastern NSW,www.islhd.health.nsw.gov.au/Coledale_Hospital/default.asp,Metropolitan hospital,Public,<50,-34.283797,150.950796,193
Colin Street Day Hospital,08 9321 4256,51 Colin Street,West Perth,6005,WA,,,www.csds.com.au,,Private,<50,-31.949358,115.841569,194
Collarenebri Multi Purpose Service,02 6756 4800,Walgett Street,Collarenebri,2833,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-29.544889,148.581901,195
Collie Hospital,08 9735 1333,Corner of Steere and Deakin Streets,Collie,6225,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=38,Small hospital,Public,<50,-33.351403,116.162223,196
Collinsville Hospital,07 4785 4777,Garrick Street,Collinsville,4804,Qld,Mackay,Northern Queensland,www.health.qld.gov.au/services/mackay/collin_hosp.asp,Regional hospital,Public,<50,-20.546108,147.838146,197
Concord Hospital,02 9767 5000,Hospital Road,Concord,2139,NSW,Sydney,Central and Eastern Sydney,www.sswahs.nsw.gov.au/concord/,Major hospital with an emergency department,Public,>500,-33.837288,151.092664,198
Condobolin Health Service,02 6890 1500,Madline Street,Condobolin,2877,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-33.082332,147.154161,199
Coober Pedy Hospital and Health Service,08 8672 5009,Lot 89 Hospital Road,Coober Pedy,5723,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/cooberpedyhospital,Regional hospital,Public,<50,-29.004893,134.762066,200
Cooktown Hospital,07 4043 0100,48 Hope Street,Cooktown,4895,Qld,Torres and Cape,Northern Queensland,https://www.health.qld.gov.au/services/torres-cape/capeyork_cook_mhs,Regional hospital,Public,<50,-15.478067,145.249616,201
Coolah Multi Purpose Service,02 6377 9100,111-135 Martin Street,Coolah,2843,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-31.821473,149.710049,202
Coolamon Multi Purpose Service,02 6927 3303,Doctor Buchanan Drive,Coolamon,2701,NSW,Murrumbidgee,Murrumbidgee,,Regional hospital with an emergency department,Public,<50,-34.819885,147.199329,203
Coolenberg Day Surgery,02 6584 0368,60 Lake Road,Port Macquarie,2444,NSW,,,,,Private,,-31.439829,152.909473,204
Cooma Hospital,02 6455 3222,Bent Street,Cooma,2630,NSW,Southern NSW,South Eastern NSW,,Small hospital with an emergency department,Public,<50,-36.241389,149.130499,205
Coonabarabran Health Service,02 6826 6100,101-103 Edwards Street,Coonabarabran,2357,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-31.274791,149.284779,206
Coonamble Multi Purpose Service,02 6827 1100,150 Castlereagh Street,Coonamble,2829,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-30.964803,148.387527,207
Cootamundra Hospital,02 6942 0444,120 Mackay Street,Cootamundra,2590,NSW,Murrumbidgee,Murrumbidgee,,Small hospital with an emergency department,Public,<50,-34.634386,148.012796,208
Coral Tree Family Centre,02 9887 5830,Badajoz And Twin Roads,North Ryde,2113,NSW,Northern Sydney,Northern Sydney,http://www.nslhd.health.nsw.gov.au/Services/Directory/Pages/CoralTree.aspx,Specialist psychiatric hospital,Public,<50,-33.804256,151.126212,209
Corowa Hospital,02 6033 1333,74 Guy Street,Corowa,2646,NSW,Murrumbidgee,Murrumbidgee,,Small hospital with an emergency department,Public,50-99,-35.993528,146.383541,210
Corrigin Hospital,08 9063 0333,49 Kirkwood Street,Corrigin,6375,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=43,Regional hospital,Public,<50,-32.324419,117.878816,211
Corymbia House,03 9791 3533,92 David Street,Dandenong,3175,Vic,,,www.corymbiahouse.com.au/,,Private,<50,-37.977201,145.21715,212
Cowell District Hospital and Aged Care,08 8629 2437,17 South Terrace,Cowell,5602,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/cowellhospital,Regional hospital,Public,<50,-33.685299,136.921405,213
Cowra Health Service,02 6340 9000,64 Liverpool Street,Cowra,2794,NSW,Western NSW,Western NSW,,Small hospital with an emergency department,Public,<50,-33.832137,148.692376,214
Craigieburn Health Service,03 8338 3000,274-304 Craigieburn Road,Craigieburn,3064,Vic,Northern Health (Vic),North Western Melbourne,,Day procedure hospital,Public,<50,-37.596015,144.91928,215
Cranbourne Integrated Care Centre,03 5990 6789,140-154 Sladen Street,Cranbourne,3977,Vic,Monash Health,South Eastern Melbourne,,Day procedure hospital,Public,<50,-38.113312,145.280832,216
Creswick District Hospital,03 5345 2403,1 Napier Street,Creswick,3363,Vic,Hepburn Health Service,Western Victoria,www.hhs.vic.gov.au,Regional hospital,Public,<50,-37.421192,143.891533,217
Crookwell Hospital,02 4832 1300,17 Kialla Road,Crookwell,2583,NSW,Southern NSW,South Eastern NSW,,Regional hospital with an emergency department,Public,<50,-34.464222,149.467427,218
Crows Nest Day Surgery,02 9955 5677,"Level 1, 22 Clarke Street",Crows Nest,2065,NSW,,,www.crowsnestdaysurgery.com.au,,Private,,-33.825083,151.199293,219
Crystal Brook and District Hospital,08 8636 1100,Edmund Terrace,Crystal Brook,5523,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/crystalbrookhospital,Small hospital,Public,<50,-33.354297,138.213243,220
Culcairn Multi Purpose Service,02 6029 8203,51-55 Balfour Street,Culcairn,2660,NSW,Murrumbidgee,Murrumbidgee,,Regional hospital with an emergency department,Public,<50,-35.667399,147.042104,221
Cumberland Hospital,02 9840 3000,1-11 Hainsworth Street,Westmead,2145,NSW,Western Sydney,Western Sydney,,Specialist psychiatric hospital,Public,200-500,-33.80159,150.995246,222
Cummins and District Memorial Hospital,08 8688 2629,19-21 Tumby Bay Road,Cummins,5631,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/cumminshospital,Regional hospital,Public,<50,-34.264155,135.73316,223
Cunderdin Hospital,08 9635 2222,Cubbine Road,Cunderdin,6407,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=44,Regional hospital,Public,<50,-31.654404,117.244226,224
Cunnamulla Hospital,07 4655 8100,56 Wicks Street,Cunnamulla,4490,Qld,South West (Qld),Western Queensland,www.health.qld.gov.au/services/southwest/swest_cunna_hosp.asp,Regional hospital,Public,<50,-28.071658,145.690405,225
Dalby Hospital,07 4669 0555,Hospital Road,Dalby,4405,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-dalby-hs.asp,Small hospital,Public,<50,-27.167153,151.278905,226
Dalwallinu Hospital,08 9661 0200,Myers Street,Dalwallinu,6609,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=45,Regional hospital,Public,<50,-30.277229,116.656544,227
Dame Phyllis Frost Centre - Marmak unit,03 8684 0000,Riding-Boundary Road,Deer Park,3023,Vic,Unknown,North Western Melbourne,,Specialist psychiatric hospital,Public,<50,-37.781307,144.742309,228
Dandenong Campus,03 9554 1000,105-135 David Street,Dandenong,3175,Vic,Monash Health,South Eastern Melbourne,,Large metropolitan hospital with an emergency department,Public,>500,-37.976459,145.218529,229
